locality_name,property_count,price_range,avg_price,avg_area,common_bhk,top_amenities,target_audience,locality_personality,avg_quality_score
Ahmedabad,225,₹0.04 Cr - ₹4.00 Cr,₹0.67 Cr,1183 sq ft,2 BHK,"park, garden, parking, hospital, metro","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",40.24
"Chandkheda, Ahmedabad",30,₹0.28 Cr - ₹2.00 Cr,₹0.68 Cr,1042 sq ft,2 BHK,"hospital, garden, school, park, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.9
"Shela, Ahmedabad",26,₹0.39 Cr - ₹3.78 Cr,₹1.01 Cr,1371 sq ft,3 BHK,"park, school, garden, parking, lift","Upper-middle class, Families with kids, Families with children, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",66.62
"Vastral, Ahmedabad",21,₹0.17 Cr - ₹1.35 Cr,₹0.47 Cr,797 sq ft,2 BHK,"metro, school, hospital, park, garden","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.62
"Nikol, Ahmedabad",21,₹0.27 Cr - ₹1.35 Cr,₹0.64 Cr,1085 sq ft,2 BHK,"hospital, school, park, garden, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",66.81
"Gota, Ahmedabad",20,₹0.38 Cr - ₹1.05 Cr,₹0.73 Cr,1072 sq ft,2 BHK,"hospital, park, garden, parking, school","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",67.5
"Maninagar, Ahmedabad",20,₹0.17 Cr - ₹1.89 Cr,₹0.64 Cr,855 sq ft,2 BHK,"hospital, school, park, garden, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.7
"Paldi, Ahmedabad",17,₹0.50 Cr - ₹2.10 Cr,₹1.00 Cr,1507 sq ft,3 BHK,"metro, hospital, school, park, parking","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.88
"South Bopal, Bopal, Ahmedabad",15,₹0.52 Cr - ₹1.72 Cr,₹0.85 Cr,1348 sq ft,3 BHK,"hospital, park, garden, parking, lift","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",57.8
"Bopal, Ahmedabad",15,₹0.24 Cr - ₹2.97 Cr,₹0.91 Cr,1304 sq ft,2 BHK,"hospital, school, park, parking, garden","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",64.93
"Naranpura, Ahmedabad",14,₹0.58 Cr - ₹2.11 Cr,₹1.07 Cr,1256 sq ft,3 BHK,"hospital, school, park, garden, parking","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",59.64
"Ambawadi, Ahmedabad",14,₹0.28 Cr - ₹3.25 Cr,₹1.43 Cr,1604 sq ft,3 BHK,"hospital, school, park, parking, garden","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",56.07
"Motera, Ahmedabad",13,₹0.26 Cr - ₹2.80 Cr,₹0.99 Cr,1390 sq ft,3 BHK,"school, hospital, park, garden, parking","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",70.92
"Vaishnodevi Circle, Ahmedabad",13,₹0.65 Cr - ₹2.50 Cr,₹1.03 Cr,1261 sq ft,3 BHK,"lake, school, hospital, park, garden","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",73.0
"Shahibag, Ahmedabad",13,₹0.30 Cr - ₹2.75 Cr,₹1.22 Cr,1219 sq ft,2 BHK,"hospital, park, parking, school, garden","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.15
